Task ID,Summary,Status,Type,Component,Description,Technical Details,Files Changed,Acceptance Criteria
SHELLY-001,Add Shelly devices database schema,Completed,Development,Database,"Added shelly_devices table to store Shelly Plus Uni device registry with multi-tenant support","Columns: id, organization_id (FK), truck_id (FK), device_id (unique), device_name, device_model (default 'Plus Uni'), ip_address, firmware_version, last_seen_at, connection_status (default 'offline'), last_frequency, is_moving, movement_threshold (default 10), webhook_secret, is_active, created_at, updated_at. Indexes on organization_id, truck_id, device_id, and composite (organization_id, connection_status).",shared/schema.ts,Tables created with proper foreign keys and indexes
SHELLY-002,Add Shelly snapshots database schema,Completed,Development,Database,"Added shelly_snapshots table to store latest readings for fast dashboard queries","Columns: id, organization_id (FK), shelly_device_id (FK), truck_id (FK), frequency, is_moving, temperature, voltage, rssi, recorded_at, updated_at. Unique index on shelly_device_id for upsert operations.",shared/schema.ts,Snapshot table supports upsert pattern
SHELLY-003,Implement storage interface for Shelly devices,Completed,Development,Backend,"Added IStorage interface methods and DbStorage implementation for Shelly CRUD operations","Methods: getShellyDeviceByDeviceId(), updateShellyDeviceFromWebhook(), upsertShellySnapshot(), listAllShellyDevices(), markShellyDevicesOffline(). All methods follow existing multi-tenant patterns with organization_id filtering.","server/storage.ts, server/db-storage.ts",Storage layer consistent with PowerMon pattern
SHELLY-004,Create vibration webhook endpoint,Completed,Development,API,"POST /api/v1/shelly/vibration - Receives vibration data from Shelly devices","Query params: device_id (required), frequency (optional, default 0). Logic: Looks up device by device_id, updates last_seen_at and connection_status to 'online', calculates is_moving based on frequency >= movement_threshold (default 10 pulses/min), upserts snapshot record. Returns 200 OK with device state.",server/api/shelly-routes.ts,Webhook receives and processes Shelly data
SHELLY-005,Create heartbeat endpoint,Completed,Development,API,"POST /api/v1/shelly/heartbeat - Maintains device online status without frequency update","Query params: device_id (required). Updates only last_seen_at and connection_status to 'online'. Used for keep-alive between vibration events.",server/api/shelly-routes.ts,Heartbeat maintains online status
SHELLY-006,Create admin devices list endpoint,Completed,Development,API,"GET /api/v1/shelly/devices - Lists all active Shelly devices (admin only)","Secured with X-API-Key header requiring FLEET_API_KEY environment variable. Returns array of all active Shelly devices across all organizations for admin monitoring.",server/api/shelly-routes.ts,Endpoint secured with API key authentication
SHELLY-007,Implement offline detection endpoint,Completed,Development,API,"POST /api/v1/shelly/check-offline - Marks stale devices as offline","Query params: threshold (optional, default 2 minutes). Secured with X-API-Key header. Finds devices with connection_status='online' and last_seen_at older than threshold, marks them as 'offline'. Returns count of devices marked offline.",server/api/shelly-routes.ts,Devices marked offline after 2+ minutes of no data
SHELLY-008,Create production SQL migration,Completed,Development,Database,"SQL script for deploying Shelly tables to production via CloudShell","Creates shelly_devices and shelly_snapshots tables with all indexes. Run command: psql $DATABASE_URL -f migrations/shelly_devices_production.sql",migrations/shelly_devices_production.sql,Migration ready for CloudShell execution
SHELLY-009,Document movement detection logic,Completed,Documentation,System Design,"Defined truck movement state detection algorithm","Logic: Vibration frequency >= 10 pulses/min + Engine On (V > 13.8V) = Driving. Low frequency + Engine On = Idling. Low frequency + Engine Off (V <= 13.8V) = Parked. Threshold of 10 pulses/min is configurable per device via movement_threshold column.",DEVELOPMENT_LOG.md,Movement states properly differentiated
SHELLY-010,Document Shelly device setup procedure,Completed,Documentation,Hardware,"Setup instructions for configuring Shelly Plus Uni devices before deployment","Steps: 1) Connect to Shelly AP WiFi (ShellyPlusUni-XXXXXXXX). 2) Open 192.168.33.1 in browser. 3) Set device name to {TruckName}-Vibration. 4) Connect to truck router WiFi. 5) Configure input:2 as counter type. 6) Set webhook URL to https://app.deecell.com/api/v1/shelly/vibration?device_id=${info.id}&frequency=${status['input:2'].freq}",DEVELOPMENT_LOG.md,Device configuration documented
